Year,City,State,Country,,,
1965, Lexington, Massachusetts,United States,,,
1965, Washington Grove, Maryland,United States,,,
1965, St. Paul,Minnesota,United States, ,,
1965, Somerville, New Jersey,United States,,,
1965, Genoa, Illinois,United States,,,
1965, West St. Paul,Minnesota,United States, ,,
1965, Chattanooga, Tennessee,United States,,,
1965, Fort Wayne, Indiana,United States,,,
1965, Cannon Falls, Minnesota,United States,,,
1965, St. Louis Park,Minnesota,United States,, ,
1965, Pittsburgh, Pennsylvania,United States,,,
1965,  Swarthmore, Pennsylvania,United States,,,
1965, Forest City, Iowa,United States,,,
1965, Richmond, Indiana,United States,,,
1965, Paul, Minnesota,United States,,,
1965, Wilmington, Delaware,United States,,,
1965, Wausau, Wisconsin,United States,,,
1965, Bala-Cynwyd, Pennsylvania,United States,,,
1965, Kensington, Maryland,United States,,,
1965, Park Forest, Illinois,United States,,,
1965, Platteville, Wisconsin,United States,,,
1965, Kobe, Japan,Japan,,,
1965, St. Louis Park,Missouri,United States, ,,
1965, Great Falls, Montana,United States,,,
1965, Pittsburgh, Pennsylvania,United States,,,
1965, St. Paul,Minnesota,United States,, ,
1965, Pontiac, Illinois,United States,,,
1965, Portland, Oregon,United States,,,
1965, Omaha, Nebraska,United States,,,
1965,  West field, New York,United States,,,
1965, Columbus, Indiana,United States,,,
1965, Yorklyn, Delaware,United States, ,,
1965, St. Louis ,Missouri,United States, ,,
1965, Seattle, Washington,United States,,,
1965, Aurora, Illinois,United States,,,
1965, Singapore, Malaysia,Malaysia,,,
1965, Anchorage, Alaska,United States,,,
1965, Darien, Connecticut,United States,,,
1965, Shawnee Mission, Kansas,United States,,,
1965, Shenandoah, Iowa,United States,,,
1965, Rockford, Illinois,United States,,,
1965, Alexandria, Virginia,United States,,,
1965, Minneapolis, Minnesota,United States,,,
1965, Lewiston, New York,United States,,,
1965, Richfield, Minnesota,United States,,,
1965, Golden Valley, Minnesota,United States,,,
1965, Ames, Iowa,United States, ,,
1965, Wauwatosa, Wisconsin,United States,,,
1965, Falls Church, Virginia,United States, ,,
1965, Green Bay, Wisconsin,United States,,,
1965, Palos Verdes, California,United States,,,
1965, Eveleth, Minnesota,United States,,,
1965, Portland, Oregon,United States,,,
1965, Austin, Minnesota,United States,,,
1965,  Liyonia, Michigan,United States,,,
1965, Albuquerque, New Mexico,United States, ,,
1965, Minnetonka, Minnesota,United States,,,
1965, Park Forest, Illinois,United States,,,
1965, Minneapolis, Minnesota,United States,,,
1965, Tenafly, New Jersey,United States,,,
1965, Wheat Ridge, Colorado,United States,,,
1965, Waterloo, Iowa,United States,,,
1965, Winona, Minnesota,United States,,,
1965, St. Paul,Minnesota,United States,, ,
1965, Des Plaines, Illinois,United States,,,
1965, Arlington, Virginia,United States,,,
1965, Albuquerque, New Mexico,United States,,,
1965, Edina, Minnesota,United States,,,
1965, Old Greenwich, Connecticut,United States,,,
1965, St. Louis,Missouri,United States, ,,
1965, Fort Lauderdale, Florida,United States,,,
1965, New York Mills, Minnesota,United States,,,
1965, Austin, Minnesota,United States,,,
1965, Orchard Park, New York,United States,,,
1965, Des Moines, Iowa,United States,,,
1965, Amery, Wisconsin,United States, ,,
1965, Duluth, Minnesota,United States,,,
1965, St. Paul,Minnesota,United States, ,,
1965, Madison, Tennessee,United States,,,
1965, Richfield, Minnesota,United States,,,
1965, Elmwood Park, Illinois,United States,,,
1965, Pittsburgh, Pennsylvania,United States,,,
1965, Pittsburgh, Pennsylvania,United States,,,
1965, Willmar, Minnesota,United States,,,
1965, Minneapolis, Minnesota,United States,,,
1965, Hopkins, Minnesota,United States,,,
1965, Bogota, Colombia,Columbia,,,
1965, Wayzata, Minnesota,United States,,,
1965, Duluth, Minnesota,United States,,,
1965, Philadelphia, Pennsylvania,United States,,,
1965, Northfield, Minnesota,United States,,,
1965, Mt. Holly Springs, Pennsylvania,United States, ,,
1965, Columbus, Ohio,United States,,,
1965, Faribault, Minnesota,United States,,,
1965, Sewickley, Pennsylvania,United States,,,
1965, Rockford, Illinois,United States,,,
1965, Williston, North Dakota,United States,,,
1965, Chicago Heights, Illinois,United States,,,
1965, Fairfax, Virginia,United States,,,
1965, Thessaloniki, Greece,United States,,,
1965, Orinda, California,United States,,,
1965, York, Pennsylvania,United States,,,
1965, St. Paul Park, Minnesota,United States,, ,
1965, Wolverton, Minnesota,United States,,,
1965, Mankato, Minnesota,United States,,,
1965, Markham, Illinois,United States,,,
1965, Portland, Oregon,United States,,,
1965, Edina, Minnesota,United States,,,
1965, Burlington, Iowa,United States,,,
1965, Longview, Washington,United States,,, 
1965, Summit, Illinois,United States,,,
1965, Mahopac, New York,United States,,,
1965, Bloomington, Minnesota,United States,,,
1965, Rockford, Illinois,United States,,,
1965, Stillwater, Minnesota,United States,,,
1965, Washington, D.C,United States,, ,
1965,St. Louis Park,Minnesota,United States,, ,
1965, Richfield, Minnesota,United States,,,
1965, Panora, Iowa,United States,,,
1965, Minneapolis, Minnesota,United States,,,
1965, Fort Wayne, Indiana,United States,,,
1965, Winsted, Connecticut,United States, ,,
1965, Lexington, Kentucky,United States,,,
1965, Chicago, Illinois,United States,,,
1965, Grand Rapids, Minnesota,United States,,,
1965, Arlington Heights, Illinois,United States,,,
1965, Ames, Iowa,United States,,,
1965, Burnsville, Minnesota,United States,,,
1965, Cincinnati, Ohio,United States,,,
1965, Billings, Montana,United States,,,
1965, Coon Rapids, Minnesota,United States,,,
1965, Lyons, New York,United States,,,
1965, Columbia, Missouri,United States, ,,
1965, Norwalk, Connecticut,United States,,,
1965, Plainfield, Illinois,United States,,,
1965, Stockton, California,United States,,,
1965, Shenandoah, Iowa,United States, ,,
1965, Bloomington, Minnesota,United States,,,
1965, Anoka, Minnesota,United States,,,
1965,  Sheffield, Iowa,United States,,,
1965, Geneseo, New York,United States,,,
1965, Stillwater, Minnesota,United States,,,
1965, Glencoe, Illinois,United States,,,
1965, Kansas City, Missouri,United States,,,
1965, Hibbing, Minnesota,United States,,,
1965, Empire, Nevada,United States,,,
1965, Cincinnati, Ohio,United States,,,
1965, Northfield, Minnesota,United States,,,
1965, Meadville, Pennsylvania,United States,,,
1965, Edina, Minnesota,United States,,,
1965, Portland, Oregon,United States,,,
1965, Middletown, Rhode Island,United States,,,
1965, Hutchinson, Minnesota,United States,,,
1965, Leawood, Kansas,United States,,,
1965, Dawson, Minnesota,United States,,,
1965, Faribault, Minnesota,United States,,,
1965, Telford, Pennsylvania,United States,,,
1965,  Blue Earth, Minnesota,United States,,,
1965,  Herndon, Virginia,United States,,,
1965, Lincoln, Nebraska,United States,,,
1965, Granville, Ohio,United States,,,
1965, Albuquerque, New Mexico,United States,,,
1965, Minnetonka, Minnesota,United States,,,
1965, Short Hills, New Jersey,United States,,,
1965, Bala-Cynwyd, Pennsylvania,United States,,,
1965, Washington, D.C,United States, ,,
1965, Elgin, Illinois,United States,,,
1965, Los Angeles, California,United States,,,
1965, Nelson, Minnesota,United States,,,
1965, Cincinnati, Ohio,United States,,,
1965, Robbinsdale, Minnesota,United States,,,
1965, Oskaloosa, Iowa,United States,,,
1965, Naperville, Illinois,United States,,,
1965, Sewickley, Pennsylvania,United States,,,
1965, Houston, Texas,United States,,,
1965, Minneapolis, Minnesota,United States,,,
1965, Corry, Pennsylvania,United States, ,,
1965, Bellevue, Washington,United States,,,
1965, Cambridge, Illinois,United States,,,
1965, Shoa, Ethiopia,Ethiopia,,,
1965, St. Paul,Minnesota,United States, ,,
1965, Redwood Falls, Minnesota,United States,,,
1965, Racine, Wisconsin,United States,,,
1965, Waukegan, Illinois,United States,,,
1965, Minneapolis, Minnesota,United States,,,
1965, Mankato, Minnesota,United States, ,,
1965, Kansas City, Missouri,United States,,,
1965, Wichita, Kansas,United States,,,
1965, Austin, Minnesota,United States,,,
1965, Wichita, Kansas,United States,,,
1965, Helsinki,Finland,Finland,,,
1965, Long Beach, California,United States,,,
1965, Hyattsville, Maryland,United States,,,
1965, Crookston, Minnesota,United States,,,
1965, Mound, Minnesota,United States,,,
1965, Faribault, Minnesota,United States,,,
1965, Highland Park, Illinois,United States,,,
1965, Kensington, Maryland,United States,,,
1965, Marquette, Michigan,United States,,,
1965, Bethlehem, Pennsylvania,United States,,,
1965, Redwood Falls, Minnesota,United States,,,
1965, Minneapolis, Minnesota,United States,,,
1965, Crawfordsville, Indiana,United States,,,
1965, Savage, Minnesota,United States,,,
1965, Dallas, Texas,United States, ,,
1965, Hopkins, Minnesota,United States,,,
1965, Cannon Falls, Minnesota,United States,,,
1965, Naperville, Illinois,United States,,,
1965, Arlington, Virginia ,United States,,,
1965, Northbrook, Illinois,United States,,,
1965,  Bangkok, Thailand,Thailand,,,
1965,  Hilo, Hawaii,United States,,,
1965, Taipei, Taiwan,Taiwan,,,
1965, Des Moines, Iowa,United States,,,
1965, Bismarck, North Dakota,United States,,,
