Year,City,State,Country,
1985, Rockville, Maryland,United States,
1985, Chicago, Illinois,United States,
1985, Grand Rapids, Michigan,United States,
1985, Ann Arbor, Michigan,United States,
1985, Portage, Wisconsin,United States,
1985, Plymouth, Minnesota,United States,
1985, Boulder, Colorado,United States,
1985, Florissant, Missouri,United States,
1985, Takoma Park, Maryland,United States,
1985, Teaneck, New Jersey,United States,
1985, Wadena, Minnesota,United States,
1985, Farmington, Missouri,United States,
1985, Glen Rock, New Jersey,United States,
1985, Duluth, Minnesota,United States,
1985, Honolulu, Hawaii,United States,
1985, Berkeley, California,United States,
1985, Mundelein, Illinois,United States,
