Year,City,State,Country,
1975, Milwaukee, Wisconsin,United States,
1975, Minneapolis, Minnesota,United States,
1975, Plymouth, Minnesota,United States,
1975, Baring, Missouri,United States,
1975, Tokyo, Japan, Japan,
1975, Los Angeles, California,United States,
1975, Minot, North Dakota,United States,
1975, Grand Rapids, Minnesota,United States,
1975, Des Plaines, Illinois,United States,
1975, Bloomingdale, Illinois,United States,
1975, Rochester, New York,United States,
1975, Merion, Pennsylvania,United States,
1975, Memphis, Tennessee,United States,
1975, New York, New York,United States,
1975, Denver, Colorado,United States,
1975, Minneapolis, Minnesota,United States,
1975, Thompson, Connecticut,United States,
1975, Madison, Wisconsin,United States,
1975, Missoula, Montana,United States,
1975, Florissant, Missouri,United States,
1975, Darien, Connecticut,United States,
1975, Manchester, New Hampshire,United States,
1975,St. Petersburg, Florida,United States,
1975, North Mankato, Minnesota,United States,
1975, St Paul, Minnesota,United States,
1975, Roseville, Minnesota,United States,
1975, Wyoming, Ohio,United States,
1975, Great Falls, Virginia,United States,
1975, Richmond, Virginia,United States,
1975, Chicago, Illinois,United States,
1975, New Martinsville, West Virginia,United States,
1975, Lakewood, Colorado,United States,
1975, Middletown, Connecticut,United States,
1975, Coon Rapids, Minnesota,United States,
1975, Potomac, Maryland,United States,
1975, Sioux Falls, South Dakota,United States,
1975, Naperville, Illinois,United States,
1975, West Bloomfield, New York,United States,
1975, Richfield, Minnesota,United States,
1975, Minnetonka, Minnesota,United States,
1975, Sioux City, Iowa,United States,
1975, Urbana, Illinois,United States,
1975, Washington, DC,United States,
1975, Newtonville, Massachusetts,United States,
1975, Great Neck, New York,United States,
1975, St Louis Park, Minnesota,United States,
1975, Chevy Chase, Maryland,United States,
1975, Fostoria, Ohio,United States,
1975, Salt Lake City, Utah,United States,
1975, Sheboygan, Wisconsin,United States,
1975, Maplewood, New Jersey,United States,
1975, Hinsdale, Illinois,United States,
1975, New Rochelle, New York,United States,
1975, Barrington, Illinois,United States,
1975, McGregor, Minnesota,United States,
1975, Ann Arbor, Michigan,United States,
1975, Iowa City, Iowa,United States,
1975, Des Peres, Missouri,United States,
1975, Lake Bluff, Illinois,United States,
1975, Oak Park, Illinois,United States,
1975, Chicago, Illinois,United States,
1975, Moscow, Idaho,United States,
1975, Richfield, Minnesota,United States,
1975, North Mankato, Minnesota,United States,
1975, Boise, Idaho,United States,
1975, Crystal, Minnesota,United States,
1975, Mill Valley, California,United States,
1975, Rochester, Minnesota,United States,
1975, West Hartford, Connecticut,United States,
1975, Edina, Minnesota,United States,
1975, Weston, Massachusetts,United States,
1975, Fort Wayne, Indiana,United States,
1975, Tenafly, New Jersey,United States,
1975, Nampa, Idaho,United States,
1975, St Louis, Missouri,United States,
1975, Brooklyn, New York,United States,
1975,St. Paul,Minnesota,United States,
1975, Hawley, Minnesota,United States,
1975, Bartlesville, Oklahoma,United States,
1975, Kenosha, Wisconsin,United States,
1975, Granville, Ohio,United States,
1975, Sleepy Eye, Minnesota,United States,
1975,St. Paul,Minnesota,United States,
1975, Riverside, Connecticut,United States,
1975, Lake Crystal, Minnesota,United States,
1975, Cleveland, Ohio,United States,
1975, Darien, Connecticut,United States,
1975, Kalamazoo, Michigan,United States,
1975, Burnsville, Minnesota,United States,
1975, Montevideo, Minnesota,United States,
1975, Coatesville, Pennsylvania,United States,
1975, LaCrosse, Wisconsin,United States,
1975, Newton Centre, Massachusetts,United States,
1975, Newport News, Virginia,United States,
1975, Milpitas, California,United States,
1975, Glastonbury, Connecticut,United States,
1975, Edmonds, Washington,United States,
1975, Ames, Iowa,United States,
1975, Bloomington, Minnesota,United States,
1975, Golden Valley, Minnesota,United States,
1975, Washington,DC,United States,
1975, Edina, Minnesota,United States,
1975, Silver Spring, Maryland,United States,
1975, LaGrange, Illinois,United States,
1975, Northfield, Minnesota,United States,
1975, Santa Barbara, California,United States,
1975, St Paul, Minnesota,United States,
1975, Byron, Illinois,United States,
1975, Huron, South Dakota,United States,
1975, Minneapolis, Minnesota,United States,
1975, Woodstock, Illinois,United States,
1975, Los Angeles, California,United States,
1975, Claremont, California,United States,
1975, Bessemer, Alabama,United States,
1975, Edina, Minnesota,United States,
1975, Rockford, Illinois,United States,
1975, Minneapolis, Minnesota,United States,
1975, Honolulu, Hawaii,United States,
1975,St. Paul,Minnesota,United States,
1975, Mankato, Minnesota,United States,
1975, Minneapolis, Minnesota,United States,
1975, Lincoln, Nebraska,United States,
1975, Silver Spring, Maryland,United States,
1975, Frazee, Minnesota,United States,
1975, Sioux Falls, South Dakota,United States,
1975, Proctor, Vermont,United States,
1975, Pine Grove Mills, Pennsylvania,United States,
1975, Mankato, Minnesota,United States,
1975, Osaka, Japan,United States,
1975, Tucson, Arizona,United States,
1975, Albia, Iowa,United States,
1975, Edina, Minnesota,United States,
1975, Decatur, Illinois,United States,
1975, New Orleans, Louisiana,United States,
1975, Cincinnati, Ohio,United States,
1975, Walla Walla, Washington,United States,
1975, Sudbury, Massachusetts,United States,
1975, Orange, California,United States,
1975, Columbus, Ohio,United States,
1975, Osceola, Wisconsin,United States,
1975, Darien, Connecticut,United States,
1975, Salem, Oregon,United States,
1975, Glenwood, Minnesota,United States,
1975, Morris, Minnesota,United States,
1975, Northfield, Minnesota,United States,
1975, Ukiah, California,United States,
1975, Lombard, Illinois,United States,
1975, Mankato, Minnesota,United States,
1975, Rochester, Minnesota,United States,
1975, Elgin, Illinois,United States,
1975, Swarthmore, Pennsylvania,United States,
1975, Minneapolis, Minnesota,United States,
1975, Loveland, Ohio,United States,
1975, Cleveland Heights, Ohio,United States,
1975, Athens, Ohio,United States,
1975, University City, Missouri,United States,
1975, King Salmon, Alaska,United States,
1975, Owensboro, Kentucky,United States,
1975, Houston, Texas,United States,
1975, Crystal, Minnesota,United States,
1975, Hastings, Nebraska,United States,
1975, Minneapolis, Minnesota,United States,
1975, Brainerd, Minnesota,United States,
1975, Jamaica, New York,United States,
1975, Mayaguez, Puerto Rico,United States,
1975, Tenafly, New Jersey,United States,
1975, Washington,DC,United States,
1975, Bloomington, Minnesota,United States,
1975, Harrisburg, Pennsylvania,United States,
1975, Chagrin Falls, Ohio,United States,
1975, Los Angeles, California,United States,
1975, West St Paul, Minnesota,United States,
1975, Mason City, Iowa,United States,
1975, Hilo, Hawaii,United States,
1975, Hilo, Hawaii,United States,
1975, Mahtomedi, Minnesota,United States,
1975, Casper, Wyoming,United States,
1975, Warrenville, Illinois,United States,
1975, Rapid City, South Dakota,United States,
1975, Alexandria, Virginia,United States,
1975, Kenilworth, Illinois,United States,
1975, Washington,DC,United States,
1975, Denver, Colorado,United States,
1975, Winfield, Kansas,United States,
1975, Oneida, Wisconsin,United States,
1975, Ridgewood, New Jersey,United States,
1975, Chicago, Illinois,United States,
1975, Madison, Wisconsin,United States,
1975, Iowa City, Iowa,United States,
1975, Colorado Springs, Colorado,United States,
1975, Minneapolis, Minnesota,United States,
1975, Wayzata, Minnesota,United States,
1975, Mequon, Wisconsin,United States,
1975, Columbia, Missouri,United States,
1975, Montgomery, Minnesota,United States,
1975, Edina, Minnesota,United States,
1975, Washington, DC,United States,
1975, Philadelphia, Pennsylvania,United States,
1975, Schenectady, New York,United States,
1975, Los Angeles, California,United States,
1975, Evanston, Illinois,United States,
1975, Tucson, Arizona,United States,
1975, Larchmont, New York,United States,
1975, West St Paul, Minnesota,United States,
1975, Louisville, Kentucky,United States,
1975, Dowagiac, Michigan,United States,
1975, Minneapolis, Minnesota,United States,
1975, Monte Sereno, California,United States,
1975, Lamar, Colorado,United States,
1975, Honolulu, Hawaii,United States,
1975, Lake Forest, Illinois,United States,
1975, Columbia, Missouri,United States,
1975, Amery, Wisconsin,United States,
1975, Madison, Wisconsin,United States,
1975, Madison, Wisconsin,United States,
1975, Tucson, Arizona,United States,
1975, Westwood, Maryland,United States,
1975, Wichita, Kansas,United States,
1975, Los Angeles, California,United States,
1975, Bemidji, Minnesota,United States,
1975, Los Angeles, California,United States,
1975, Minneapolis, Minnesota,United States,
1975, Cllntonville, Wisconsin,United States,
1975, Prospect, Connecticut,United States,
1975, Fairfield, California,United States,
1975, South Ascot, Berkshire,England,
1975, Enugu, Nigeria,Nigeria,
1975, Tucson, Arizona,United States,
1975, La Jolla, California,United States,
1975, St. Paul,Minnesota,United States,
1975, Rochester, New York,United States,
1975, Santa Monica, California,United States,
1975, Corvallis, Oregon,United States,
1975, St Paul, Minnesota,United States,
1975, Minneapolis, Minnesota,United States,
1975, Hibbing, Minnesota,United States,
1975, Cedarhurst, New York,United States,
1975, Webster Groves, Missouri,United States,
1975, Winnetka, Illinois,United States,
1975, Minneapolis, Minnesota,United States,
1975, Pacific Palisades, California,United States,
1975, Minneapolis, Minnesota,United States,
1975, Canton, New York,United States,
1975, St. Louis,Missouri,United States,
1975, Baltimore, Maryland,United States,
1975, New Orleans, Louisiana,United States,
1975, Elgin, Illinois,United States,
1975, Winona, Minnesota,United States,
1975, Evergreen Park, Illinois,United States,
1975, Ionia, New York,United States,
1975, Wayzata, Minnesota,United States,
1975, Portland, Oregon,United States,
1975, Richton Park, Illinois,United States,
1975, Chicago, Illinois,United States,
1975, Acton, Massachusetts,United States,
1975, Glenville, Minnesota,United States,
1975, Bloomington, Minnesota,United States,
1975, Kansas City, Missouri,United States,
1975, Roseville, Minnesota,United States,
1975, St Paul, Minnesota,United States,
1975, Visalia, California,United States,
1975, Altadena, California,United States,
1975, Eden Prairie, Minnesota,United States,
1975, Caledonia, Minnesota,United States,
1975, Oneonta, New York,United States,
1975, Riverside, California,United States,
1975, New Hope, Minnesota,United States,
1975, New Milford, Connecticut,United States,
1975, Atlanta, Georgia,United States,
1975, Cleveland Heights, Ohio,United States,
1975, Northfield, Minnesota,United States,
1975, Portland, Oregon,United States,
1975, Cedar Rapids, Iowa,United States,
1975, Wayne, Pennsylvania,United States,
1975, Los Angeles, California,United States,
1975, Homestead, Florida,United States,
1975, Chanhassen, Minnesota,United States,
1975, Shaker Heights, Ohio,United States,
1975, Duluth, Minnesota,United States,
1975, Norwalk, Connecticut,United States,
1975, Elmore, Minnesota,United States,
1975, Indianapolis, Indiana,United States,
1975, Northfield, Minnesota,United States,
1975, St Louis, Missouri,United States,
1975, South Godstone, Surrey, England,
1975, Golden Valley, Minnesota,United States,
1975, Tucson, Arizona,United States,
1975, Duluth, Minnesota,United States,
1975, Stillwater, Minnesota,United States,
1975, Bronx, New York,United States,
1975, Edina, Minnesota,United States,
1975, Skokie, Illinois,United States,
1975, Fairfield, Connecticut,United States,
1975, Hamden, Connecticut,United States,
1975, Boulder, Colorado,United States,
1975, Chicago, Illinois,United States,
1975, Louisville, Kentucky,United States,
1975, Austin, Minnesota,United States,
1975, Princeton, New Jersey,United States,
1975, Windom, Minnesota,United States,
1975, Aurora, Illinois,United States,
1975, Madison, Wisconsin,United States,
1975, Edina, Minnesota,United States,
1975, Park Ridge, Illinois,United States,
1975, Springfield, Massachusetts,United States,
1975, Kensington, Maryland,United States,
1975, Fargo, North Dakota,United States,
1975, Casper, Wyoming,United States,
1975, Brookline, Massachusetts,United States,
1975, Tucson, Arizona,United States,
1975, Oklahoma City, Oklahoma,United States,
1975, Platteville, Wisconsin,United States,
1975, Highland Park, Illinois,United States,
1975, Pittsburgh, Pennsylvania,United States,
1975, Lutherville, Maryland,United States,
1975, Durham, North Carolina,United States,
1975, Woodland Hills, California,United States,
1975, Edina, Minnesota,United States,
1975, St Paul, Minnesota,United States,
1975, Walla Walla, Washington,United States,
1975, Chicago, Illinois,United States,
1975, Evanston, Illinois,United States,
1975, Minneapolis, Minnesota,United States,
1975, Duluth, Minnesota,United States,
1975, Geneva, Illinois,United States,
1975, Rapid City, South Dakota,United States,
1975, Glenwood Springs, Colorado,United States,
1975, Athens, Georgia,United States,
1975, Upland, California,United States,
1975, Tucson, Arizona,United States,
1975, Park Forest, Illinois,United States,
1975, Northfield, Illinois,United States,
1975, Chicago, Illinois,United States,
1975, St, Paul,United States,
1975, Minneapolis, Minnesota,United States,
1975, Ripon, Wisconsin,United States,
1975, Nagoya, Japan,United States,
1975, Princeton, New Jersey,United States,
1975, New York, New York,United States,
1975, Oakland, California,United States,
1975, Park Forest, Illinois,United States,
1975, Austin, Minnesota,United States,
1975, Pittsburgh, Pennsylvania,United States,
1975, Kensington, Maryland,United States,
1975, Nashville, Tennessee,United States,
1975, San Diego, California,United States,
1975, Edina, Minnesota,United States,
1975, Vienna, Virginia,United States,
1975, Minneapolis, Minnesota,United States,
1975, Columbus, Montana,United States,
1975, Cleveland, Ohio,United States,
1975, Edina, Minnesota,United States,
1975, Eden Prairie, Minnesota,United States,
1975, Bloomington, Minnesota,United States,
1975, Ann Arbor, Michigan,United States,
1975, Missoula, Montana,United States,
1975, St Paul, Minnesota,United States,
1975, Sioux City, Iowa,United States,
1975, Chester, New York,United States,
1975, Columbia, Missouri,United States,
1975, Missoula, Montana,United States,
1975, Lake Bluff, Illinois,United States,
1975, Severna Park, Maryland,United States,
1975, Southwick, Massachusetts,United States,
1975, Glencoe, Illinois,United States,
1975, Anchorage, Alaska,United States,
1975, Bronx, New York,United States,
1975, Hingham, Massachusetts,United States,
1975, Hoffman Estates, Illinois,United States,
1975, Pasadena, California,United States,
1975, Wallingford, Connecticut,United States,
1975, Whittier, California,United States,
1975, Cananea, Sonora,United States,
1975, Minneapolis, Minnesota,United States,
1975, Arlington Heights, Illinois,United States,
1975, Northfield, Minnesota,United States,
1975, Minneapolis, Minnesota,United States,
1975, Marion, Iowa,United States,
1975, Wayzata, Minnesota,United States,
1975, Lakewood, California,United States,
1975, Wooster, Ohio,United States,
1975, Ann Arbor, Michigan,United States,
1975, Cleveland, Ohio,United States,
1975, Minneapolis, Minnesota,United States,
1975, New Orleans, Louisiana,United States,
1975, Naugatuck, Connecticut,United States,
1975, Austin, Minnesota,United States,
1975, 'Rochester, Minnesota,United States,
1975, Pepper Pike, Ohio,United States,
1975, Rochester, Minnesota,United States,
1975, Luverne, Minnesota,United States,
1975, Highland Park, New Jersey,United States,
1975, Littleton, Colorado,United States,
1975, New York, New York,United States,
1975, Waseca, Minnesota,United States,
1975, Minneapolis, Minnesota,United States,
1975, Normal, Illinois,United States,
1975, Barrington, Rhode Island,United States,
1975, Granville, Ohio,United States,
1975, New Brighton, Minnesota,United States,
1975, Centre Hall, Pennsylvania,United States,
1975, St. Davids, Pennsylvania,United States,
1975, New York, New York,United States,
1975, Lexington, Massachusetts,United States,
1975, Stillwater, Minnesota,United States,
1975, Clarkston, Georgia,United States,
1975, Portland, Oregon,United States,
1975, Portland, Oregon,United States,
1975, Robbinsdale, Minnesota,United States,
1975, Tokyo, Japan, Japan,
1975, Burnsville, Minnesota,United States,
1975, Saranac Lake, New York,United States,
1975, Glencoe,Illinois,United States,
1975,St. Cloud,Minnesota,United States,
1975, Rochester, Wisconsin,United States,
1975, Marshfield, Wisconsin,United States, 
1975, Minneapolis, Minnesota,United States,
1975, Kansas City, Missouri,United States,
1975, Chicago, Illinois,United States,
1975, Cleveland Heights, Ohio,United States,
1975, Chicago, Illinoiso Kenwood High School,United States,
1975, Chippewa Falls, Wisconsin,United States,
1975, Chicago, Illinois,United States,
1975, Tokyo, Japan, Japan,
1975, Chicago, Illinois,United States,
1975, New York, New York,United States,
1975, Kuwait, State of Kuwait,Kuwait,
1975, Red Wing, Minnesota,United States,
1975, Northfield, Minnesota,United States,
