Year,Hometown
2010,"Omaha, NE"
2010,"Minneapolis, MN "
2010,"Stillwater, MN "
2010,"Tucson, AZ"
2010,"Calumet Park, IL "
2010,"Flower Mound, TX "
2010,ayetteville. NY
2010,"Gilbert, AZ "
2010,"Olympia, WA "
2010,"Marblehead, MA "
2010,"Brighton, CO "
2010,"Eden Prairie, MN "
2010,"Lahore, Pakistan "
2010,"Corvallis, OR "
2010,"Cambridge, MA "
2010,"Wayne, NJ"
2010,"Kasson, MN "
2010,"Glencoe, MN"
2010,"Oxford, MS"
2010,"Elk Grove Village, IL "
2010,"Chaska, MN "
2010,"Ledyard, CT"
2010,"Kingsville, MD "
2010,"Newton, MA "
2010,"Greenville, PA "
2010,"Wilmette, IL"
2010,"Woodbury, MN "
2010,"Minnetonka, MN "
2010,"Arlington, TX "
2010,"Rutland, VT"
2010,"Maidsville, WV "
2010,"Cologne, MN "
2010,"New Prague, MN "
2010,"Ridgefietd, CT "
2010,"Westlake Village, CA "
2010,"Arlington, MA "
2010,"Berkeley, CA "
2010,"Duluth, MN"
2010,"Singapore, Singapore "
2010,"Independence, MN "
2010,"Ardsley, NY"
2010,"Chicago, IL "
2010,"San Mateo, CA"
2010,"Saint Louis, MO "
2010,"Westfield, N]"
2010,"Brooklyn, NY"
2010,"Chicago, IL"
2010,"New York, NY"
2010,"Baarn, Netherlands "
2010,"South Saint Paul, MN "
2010,"Corcoran, MN "
2010,"Greencastle, IN "
2010,"Davis, CA"
2010,"Memphis, TN "
2010,"Thurmont, MD "
2010,"Berkeley, CA"
2010,"Belmont, MA "
2010,"Anchorage, AK "
2010,"Decatur, GA"
2010,"Trinidad, CA"
2010,"Mequon, Wl"
2010,"Weston, MA"
2010,"Columbia Heights, MN "
2010,"Potomac, MD"
2010,"Birmingham, AL"
2010,"Green Bay, WI "
2010,"Victoria, MN"
2010,"Baguio, Philippines "
2010,"Chicago, IL"
2010,"Minneapolis, MN"
2010,"Vadnais Heights, MN "
2010,"Amherst, MA"
2010,"Portola Valley, CA "
2010,"Colorado Springs, CO "
2010,"Watkinsville, GA "
2010,"Tokyo, Japan"
2010,"Freiburg, Germany "
2010,"Eden Prairie, MN "
2010,"Williams Bay, WI "
2010,"Chapel Hill, NC"
2010,"Marlborough, MA "
2010,"Superior, WI"
2010,"Amherst, MA"
2010,"Centennial, CO "
2010,"Clive, IA"
2010,"Arlington, VA "
2010,"Eden Prairie, MN "
2010,"Plymouth, MN "
2010,"Saint Paul, MN "
2010,"Altadena, CA "
2010,"Newton, MA "
2010,"Chicago, IL "
2010,"Britt, MN"
2010,"Decatur, GA"
2010,"Telluride, CO "
2010,"Summit, NJ"
2010,"Rochester, MN "
2010,"Portland, OR "
2010,"Edina, MN"
2010,"Ann Arbor, MI "
2010,"Saint Anthony, MN"
2010,"Woodbury, MN"
2010,"Evanston, IL "
2010,"Bethesda, MD"
2010,"Whitefish Bay, WI "
2010,"Istanbul, Turkey "
2010,"Chevy Chase, MD "
2010,"Kathmandu, Nepal "
2010,"Edina, MN"
2010,"Vashon island, WA "
2010,"Webster Groves, MO "
2010,"Fort Wayne, IN "
2010,"Tokyo, Japan "
2010,"Monticello, EA"
2010,"Lake City, MN "
2010,"Weybridge, VT "
2010,"Prior Lake, MN"
2010,"Minneapolis, MN "
2010,"Oakham, MA "
2010,"Glenview, IL "
2010,"Winona, MN Winona "
2010,"Amherst, MA"
2010,"Cupertino, CA "
2010,"Alton Hants, United Kingdom "
2010,"Portland, OR "
2010,"Belmont, MA "
2010,"Bloomington, MN "
2010,"Oakland, CA "
2010,"Zionsville, IN "
2010,"Dallas, TX"
2010,"Burlingame, CA "
2010,"Larkspur, CA"
2010,"Daegu, Republic of Korea"
2010,"Stillwater, MN "
2010,"Issaquah, WA "
2010,"Saint Paul, MN "
2010,"Lincoln, NE "
2010,"New York, NY "
2010,"Chicago, IL"
2010,"Guilford, CT"
2010,"Yangon, Union of Myanmar"
2010,"Olympia, WA "
2010,"Pasig, Philippines "
2010,"Kwangju-Shi, Republic of Korea"
2010,"New Rochelle, NY "
2010,"Wayland, MA "
2010,"Rock Hill, SC "
2010,"Nanjing, China "
2010,"Downers Grove, IL "
2010,"Onalaska, WI "
2010,"Beijing, China  "
2010,"Shanghai, China "
2010,"Qingdao, China "
2010,"Atlanta, GA"
2010,"Manitou Springs, CO "
2010,"Albany, NY"
2010,"Hinsdale, IL"
2010,"Des Moines, IA "
2010,"Salem, OR"
2010,"New York, NY "
2010,"Hinsdale, IL"
2010,"Gurgaon, Haryana, India "
2010,"Cambridge, MA "
2010,"Minneapolis, MN "
2010,"Saratoga Springs, NY "
2010,"New York, NY "
2010,"Brooklyn, NY"
2010,"Cumberland, ME "
2010,"Mount Pleasant, SC "
2010,"Glencoe, IL "
2010,"Tacoma, WA"
2010,"Hawthorne, CA "
2010,"Maplewood, MN "
2010,"New York, NY"
2010,"Austin, TX"
2010,"Oxford, MS"
2010,"Torrance, CA"
2010,"Bronxviile, NY "
2010,"Evansville, IN "
2010,"Stratham, NH"
2010,"Berrington, IL "
2010,"Cidra, PR"
2010,"Northfield, MN "
2010,"Bothell,WA "
2010,"Bloomington, MN "
2010,"Edina, MN"
2010,"Lake Elmo, MN "
2010,"Kaukauna, WI "
2010,"Beijing, China "
2010,"White Bear Lake, MN "
2010,"New York, NY "
2010,"Manzini, Swaziland"
2010,"Washington, DC"
2010,"Chicago, IL "
2010,"Oak Park, IL"
2010,"Denton, TX"
2010,"New York, NY"
2010,"Concord, MA "
2010,"Waukegan,IL "
2010,"Berkeley, CA"
2010,"Ardsley, NY"
2010,"Worthington, MN "
2010,"Larchmont, NY"
2010,"Stillwater, MN "
2010,"Madison, WI "
2010,"Woodbury, MN "
2010,"Edina, MN"
2010,"Birmingham, AL"
2010,"Cave Creek, AZ "
2010,"Edina, MN"
2010,"San Francisco, CA "
2010,"Bronx, NY "
2010,"Frausto Phoenix, AZ"
2010,"Minneapolis, MN "
2010,"Qss Lake, MN"
2010,"Juneau, AK "
2010,"New York, NY "
2010,"Eden Prairie, MN "
2010,"Minnetonka, MN "
2010,"Aledo, TX"
2010,"Evanston, IL "
2010,"Weavervitle, NC"
2010,"Atlanta, GA "
2010,"Paradise Valley, AZ "
2010,"Kensington, CA"
2010,"Evansville, IN "
2010,"Hanoi, Vietnam"
2010,"Arlington, MA"
2010,"Dallas, TX "
2010,"Wynnewood, PA "
2010,"Singapore, Singapore "
2010,"Lawton, OK"
2010,"Courtfand, NY "
2010,"Sioux Falls, SD "
2010,"Waunakee, WI "
2010,"Los Angeles, CA"
2010,"New York, NY "
2010,"River Fairs, WI"
2010,"Richmond, VT"
2010,"Chicago, IL"
2010,"Valencia, Venezuela "
2010,"Mount Airy, MD "
2010,"Cottage Grove, MN "
2010,"St Louis Park, MN "
2010,"Glenview, IL"
2010,"St. Louis, MO"
2010,"Vancouver, WA "
2010,"Salt Lake City, UT "
2010,"Burnsville, MN"
2010,"Chappaqua, NY "
2010,"Shaker Heights, OH "
2010,"La Mesa, CA "
2010,"Minneapolis, MN "
2010,"Durham, NC"
2010,"North Yarmouth, ME "
2010,"McFarland,WI "
2010,"Sherman Oaks, CA "
2010,"Chevy Chase, MD "
2010,"New York, NY"
2010,"Harvard, MA"
2010,"New York, NY "
2010,"Houston, TX"
2010,"Eugene, OR"
2010,"Riverside, IL "
2010,"Coon Rapids, MN "
2010,"New York, NY "
2010,"Saint Louis, MO "
2010,"Boulder, CO "
2010,"Pittsford, NY "
2010,"Marbach, Germany "
2010,"Denver, CO"
2010,"Huntsville, AL "
2010,"Hastings, MN "
2010,"South Orange, NJ "
2010,"Waverly, IA "
2010,"Mercer Island, WA "
2010,"Dallas, TX"
2010,"Westwood, MA "
2010,"Roseville, MN "
2010,"San Rafael, CA"
2010,"Burnsville, NC "
2010,"Shanghai, China "
2010,"Richfield, MN"
2010,"La Crosse, WI "
2010,"Chicago, IL"
2010,"Minneapolis, MN "
2010,"Palo Alto, CA"
2010,"Libertyville, IL "
2010,"Virginia Beach, VA "
2010,"Swarthmore, PA "
2010,"Seattle, WA "
2010,"Chesterton, IN "
2010,"Las Vegas, NV"
2010,"Seoul, Republic of Korea "
2010,"Scottsdale, AZ "
2010,"Woodside, CA "
2010,"Elmhurst, IL "
2010,"Bainbridge Island, WA "
2010,"Fort Wayne, IN "
2010,"Sherwood, OR "
2010,"Austin, TX"
2010,"Billings, MT"
2010,"Andover, MA "
2010,"Evanston, IL "
2010,"Faribault, MN "
2010,"Bethesda, MD"
2010,"Stanford, CA"
2010,"Minneapolis, MN "
2010,"Edina, MN"
2010,"Kansas City, MO "
2010,"Nanjing, China "
2010,"Roseville, MN "
2010,"Hilo, HI "
2010,"Prairie Village, KS "
2010,"Atlanta, GA "
2010,"Jakarta, Indonesia "
2010,"Mirpur, Pakistan"
2010,"Mission Viejo, CA "
2010,"New Hope, MN "
2010,"Thioffy Podor, Senegal "
2010,"Hong Kong, Hong Kong "
2010,"Trabuco Canyon, CA "
2010,"Newton, MA "
2010,"Suzhou, China "
2010,"Wilmette, IL"
2010,"Iowa City, IA"
2010,"Tokyo, Japan"
2010,"Saint Louis, MO"
2010,"Rye Brook, NY "
2010,"Taipei, Taiwan"
2010,"Sartell, MN"
2010,"Concord, MA "
2010,"Northfield, MN "
2010,"New York, NY "
2010,"Ames, IA"
2010,"Spokane, WA"
2010,"Evanston, IL "
2010,"Sycamore, IL "
2010,"New Vernon, NJ "
2010,"Saint Paul, MN "
2010,"Flemington, NJ "
2010,"Mahtomedi, MN "
2010,"Minnetonka, MN"
2010,"St. Paul, MN "
2010,"Chicago, IL"
2010,"Northfield, MN "
2010,"Marlborough, MA "
2010,"Portland, OR"
2010,"Topsham, ME "
2010,"New Canaan, CT "
2010,"Redwood City, CA "
2010,"Elk Grove Village, IL "
2010,"Jinan, China"
2010,"Nanjing, China"
2010,"Beijing, China"
2010,"Portland, OR "
2010,"Oak Park, IL"
2010,"St. Louis Park, MN "
2010,"Pelham, MN "
2010,"St Bernard, LA "
2010,"Ann Arbor, MI"
2010,"Wichita Falls, TX"
2010,"Eugene, OR"
2010,"Ridgefield, CT "
2010,"Chicago, IL "
2010,"Newton, MA "
2010,"Minneapolis, MN "
2010,"Gainesville, FL "
2010,"Chicago, IL "
2010,"Franklin, IN"
2010,"Novato, CA "
2010,"Camden-Wyoming, DE "
2010,"East Setauket, NY "
2010,"Faribault, MN "
2010,"Lakewood, WA"
2010,"Cincinnati, OH"
2010,"Madison, WI"
2010,"Edina, MN"
2010,"Kansas City, MO "
2010,"Claremont, CA "
2010,"Moraga, CA "
2010,"St. Paul, MN "
2010,"St Paul, MN "
2010,"Rochester, MN "
2010,"Louisville, CO "
2010,"Rockville, MD "
2010,"Elmhurst, IL"
2010,"Pusan, Republic of Korea "
2010,"Scottsdale, AZ "
2010,"Colorado Springs, CO "
2010,"South Kent, CT"
2010,"Berkeley, CA"
2010,"Chicago, IL "
2010,"Uijeongbu Gyeonggido, Republic of Korea "
2010,"Austin, TX"
2010,"Chicago, IL "
2010,"South Barrington, IL "
2010,"Chicago, IL"
2010,"Mendota Heights, MN "
2010,"Beijing, China "
2010,"Richfield, MN "
